,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
0,42.5,0.0,4.0,1.0,0.0,1,1.0,18,0,0,1,16,0,,NaN,0,16
1,13.0,1.0,4.0,1.0,0.0,1,0.0,16,0,0,0,0,0,0.0,0,0,0
2,22.5,1.0,1.0,2.0,1.0,1,1.0,14,36,4,0,0,0,0.0,NaN,0,0
3,27.5,0.0,2.0,1.0,0.0,2,1.0,14,12,0,1,16,0,0.0,NaN,0,0
4,42.5,0.0,1.0,7.0,1.0,1,1.0,0,0,0,0,0,0,0.0,NaN,0,0
5,27.5,1.0,2.0,5.0,0.0,3,1.0,16,0,0,0,0,0,0.0,NaN,0,0
6,13.0,1.0,3.0,1.0,0.0,3,0.0,13,0,0,0,0,0,0.0,0,0,0
7,70.0,1.0,4.0,1.0,0.0,2,1.0,14,104,3,1,50,0,,NaN,0,18
8,24.5,0.0,1.0,1.0,1.0,3,1.0,15,3,NaN,1,14,100,,NaN,30,18
9,42.5,1.0,4.0,1.0,0.0,1,1.0,0,312,2,1,16,0,,NaN,0,0
10,42.5,0.0,2.0,1.0,0.0,1,1.0,16,361,5,1,16,0,,NaN,30,18
11,14.0,0.0,4.0,1.0,0.0,1,0.0,0,0,0,0,0,0,0.0,0,0,0
12,14.0,1.0,2.0,2.0,0.0,1,1.0,12,0,0,1,11,121,0.0,0,0,0
13,42.5,0.0,2.0,7.0,1.0,2,1.0,18,72,4,1,17,12,,NaN,30,17
14,42.5,1.0,1.0,1.0,1.0,1,1.0,21,3,0,0,0,0,,NaN,0,0
15,14.0,1.0,1.0,1.0,1.0,3,0.0,21,0,0,0,0,0,0.0,0,0,0
16,70.0,0.0,4.0,1.0,0.0,2,1.0,0,0,0,0,0,0,0.0,NaN,0,0
17,42.5,0.0,4.0,7.0,0.0,2,1.0,0,260,2,1,18,0,,NaN,0,18
18,12.0,1.0,4.0,1.0,0.0,1,0.0,14,0,0,0,0,0,0.0,0,0,0
19,42.5,0.0,2.0,1.0,0.0,1,1.0,0,0,0,0,0,0,,NaN,0,18
20,18.0,0.0,2.0,1.0,1.0,2,1.0,16,2,0,1,12,0,,NaN,30,14
21,42.5,0.0,4.0,1.0,0.0,2,1.0,17,1,0,1,15,0,,NaN,30,20
22,13.0,0.0,2.0,1.0,0.0,2,0.0,0,0,0,0,0,0,0.0,0,0,0
23,42.5,1.0,4.0,1.0,0.0,1,1.0,16,156,2,1,14,0,,NaN,0,17
24,14.0,1.0,2.0,7.0,0.0,1,0.0,16,0,0,0,0,0,0.0,0,0,0
25,16.0,0.0,4.0,2.0,0.0,2,0.0,15,0,0,0,0,0,0.0,0,0,0
