,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days
0,18.0,0.0,1.0,2.0,1.0,1,0.0,18,0,0,0,0,0
1,42.5,1.0,4.0,1.0,0.0,1,1.0,16,2,0,0,0,0
2,32.5,1.0,1.0,7.0,0.0,1,1.0,14,30,2,1,22,52
3,16.0,0.0,1.0,1.0,1.0,2,0.0,14,0,0,0,0,0
4,20.0,1.0,1.0,2.0,0.0,1,1.0,0,2,0,1,18,1
5,32.5,0.0,2.0,7.0,0.0,3,1.0,16,156,2,0,0,0
6,57.5,0.0,2.0,7.0,1.0,3,1.0,13,12,NaN,0,0,0
7,42.5,0.0,2.0,1.0,1.0,2,0.0,14,0,0,0,0,0
8,70.0,0.0,1.0,6.0,0.0,3,0.0,15,0,0,0,0,0
9,20.0,1.0,1.0,5.0,0.0,1,0.0,0,0,0,0,0,0
10,21.0,0.0,1.0,3.0,1.0,1,1.0,16,156,3,1,14,4
11,57.5,1.0,4.0,1.0,0.0,1,1.0,0,364,2,1,18,0
12,57.5,1.0,3.0,1.0,0.0,1,1.0,12,104,2,1,16,0
13,12.0,0.0,2.0,1.0,1.0,2,0.0,18,0,0,0,0,0
14,15.0,1.0,4.0,5.0,0.0,1,0.0,21,0,0,0,0,0
15,32.5,1.0,2.0,7.0,0.0,3,1.0,21,104,NaN,0,0,0
16,32.5,0.0,2.0,1.0,1.0,2,1.0,0,104,2,1,9,104
17,57.5,0.0,3.0,1.0,0.0,2,1.0,0,180,2,1,15,0
18,57.5,1.0,2.0,1.0,0.0,1,1.0,14,0,0,1,16,0
19,24.5,1.0,3.0,7.0,0.0,1,1.0,0,36,4,1,15,0
20,13.0,1.0,4.0,1.0,0.0,2,0.0,16,0,0,0,0,0
21,70.0,1.0,1.0,2.0,0.0,2,1.0,17,0,0,0,0,0
22,42.5,1.0,4.0,2.0,0.0,2,1.0,0,104,NaN,1,20,363
23,42.5,1.0,2.0,7.0,0.0,1,1.0,16,52,NaN,1,16,0
24,24.5,0.0,2.0,1.0,0.0,1,1.0,16,104,3,1,18,0
25,57.5,0.0,4.0,1.0,0.0,2,1.0,15,104,1,0,0,0
26,32.5,1.0,3.0,1.0,0.0,3,1.0,16,24,1,1,20,0
27,70.0,1.0,3.0,1.0,0.0,1,1.0,0,0,0,0,0,0
28,22.5,1.0,2.0,1.0,0.0,1,1.0,0,361,2,1,18,208
29,14.0,0.0,4.0,1.0,0.0,1,1.0,NaN,3,1,0,0,0
30,16.0,1.0,4.0,1.0,0.0,1,1.0,16,10,0,0,0,0
31,20.0,1.0,2.0,1.0,1.0,1,1.0,16,260,0,1,18,52
32,27.5,0.0,2.0,1.0,0.0,1,1.0,0,0,0,1,14,0
33,12.0,1.0,3.0,7.0,0.0,2,0.0,18,0,0,0,0,0
34,32.5,1.0,4.0,1.0,0.0,2,1.0,14,180,2,1,15,2
35,17.0,1.0,3.0,1.0,0.0,2,0.0,19,0,0,0,0,0
36,14.0,1.0,4.0,1.0,0.0,3,0.0,18,0,0,0,0,0
37,42.5,1.0,3.0,1.0,0.0,1,1.0,0,52,2,0,0,0
38,57.5,1.0,1.0,2.0,1.0,1,1.0,15,104,23,1,25,0
39,42.5,0.0,3.0,1.0,0.0,1,1.0,15,240,2,0,0,0
40,42.5,0.0,3.0,1.0,0.0,3,1.0,0,156,2,1,31,0
41,22.5,0.0,2.0,1.0,0.0,2,1.0,14,36,1,1,16,312
42,57.5,0.0,4.0,7.0,1.0,1,0.0,19,0,0,0,0,0
43,15.0,0.0,1.0,2.0,1.0,1,0.0,16,0,0,0,0,0
44,42.5,0.0,4.0,1.0,0.0,3,1.0,16,60,2,0,0,0
45,19.0,1.0,1.0,5.0,0.0,1,1.0,0,12,1,1,19,1
46,15.0,1.0,4.0,5.0,0.0,2,1.0,16,3,0,0,0,0
47,14.0,1.0,4.0,1.0,0.0,3,0.0,15,0,0,0,0,0
48,42.5,1.0,4.0,2.0,0.0,1,0.0,19,0,0,0,0,0
49,24.5,0.0,2.0,1.0,0.0,1,1.0,15,3,0,1,17,0
50,27.5,1.0,4.0,1.0,1.0,2,1.0,18,52,0,1,17,0
51,32.5,0.0,3.0,2.0,0.0,2,1.0,17,5,1,1,21,0
52,42.5,0.0,4.0,7.0,0.0,1,0.0,0,0,0,0,0,0
53,57.5,1.0,4.0,1.0,1.0,2,1.0,15,144,1,1,19,342
54,17.0,0.0,2.0,7.0,1.0,2,1.0,13,0,0,1,15,72
55,24.5,1.0,2.0,1.0,0.0,1,1.0,15,180,2,1,19,0
56,42.5,0.0,3.0,1.0,0.0,1,1.0,18,359,1,1,23,0
57,15.0,1.0,4.0,1.0,0.0,3,0.0,0,0,0,0,0,0
58,17.0,0.0,4.0,1.0,0.0,1,1.0,15,7,NaN,0,0,0
59,57.5,0.0,4.0,1.0,0.0,3,1.0,0,180,1,0,0,0
60,19.0,1.0,3.0,6.0,0.0,1,1.0,17,208,4,1,16,312
61,42.5,0.0,1.0,2.0,1.0,1,1.0,14,156,1,1,13,260
62,57.5,1.0,1.0,1.0,0.0,2,1.0,0,0,0,1,16,0
63,22.5,0.0,1.0,5.0,0.0,2,1.0,18,10,2,0,0,0
64,57.5,0.0,1.0,7.0,1.0,2,0.0,18,0,0,0,0,0
65,57.5,1.0,1.0,1.0,1.0,2,1.0,20,NaN,NaN,1,13,36
66,17.0,1.0,1.0,7.0,1.0,3,1.0,12,1,NaN,0,0,0
67,13.0,1.0,2.0,1.0,0.0,1,0.0,24,0,0,0,0,0
68,20.0,1.0,4.0,2.0,1.0,1,1.0,23,12,3,0,0,0
69,15.0,0.0,2.0,1.0,1.0,1,0.0,18,0,0,0,0,0
70,57.5,0.0,4.0,1.0,0.0,1,1.0,NaN,0,0,0,0,0
71,22.5,0.0,2.0,1.0,0.0,2,1.0,0,9,0,0,0,0
72,42.5,1.0,1.0,2.0,1.0,2,1.0,18,12,3,1,12,0
73,27.5,0.0,3.0,5.0,0.0,1,1.0,18,0,0,0,0,0
