,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month
0,17.0,1,1,1,0,1.0,99,1,18,5,7,0,0,0,0,0
1,42.5,1,2,7,1,1.0,1,1,16,52,NaN,1,15,364,0,0
2,32.5,0,1,1,0,1.0,4,1,14,48,0,0,0,0,0,0
3,13.0,0,4,7,0,2.0,99,1,14,2,0,0,0,0,0,0
4,22.5,0,1,1,0,1.0,4,1,0,6,0,0,0,0,0,0
5,24.5,1,1,5,0,3.0,4,94,16,NaN,NaN,0,0,0,0,0
6,24.5,1,2,7,0,3.0,1,1,13,84,6,0,0,0,0,0
7,15.0,0,4,1,0,2.0,99,0,14,0,0,0,0,0,0,0
8,13.0,1,4,1,0,3.0,99,0,15,0,0,0,0,0,0,0
9,12.0,0,1,2,1,1.0,99,0,0,0,0,0,0,0,NaN,0
10,16.0,0,1,7,1,1.0,99,0,16,0,0,1,14,0,0,0
11,14.0,1,3,7,0,1.0,99,0,0,0,0,0,0,0,0,0
12,27.5,0,4,1,0,1.0,1,1,12,52,1,1,18,0,0,0
13,22.5,0,1,4,1,2.0,4,1,18,NaN,0,1,NaN,NaN,0,0
14,32.5,1,4,7,0,1.0,1,1,21,24,2,0,0,0,0,0
15,15.0,1,4,1,0,3.0,99,0,21,0,0,0,0,0,NaN,0
16,42.5,0,2,7,1,2.0,2,0,0,0,0,0,0,0,0,0
17,32.5,0,2,7,0,2.0,4,0,0,0,0,0,0,0,0,0
18,42.5,0,4,7,0,1.0,4,1,14,2,0,1,12,0,0,0
19,18.0,0,3,7,0,1.0,2,1,0,0,0,0,0,0,0,0
20,20.0,0,2,7,0,2.0,4,0,16,0,0,0,0,0,0,0
21,32.5,1,3,1,0,2.0,1,1,17,14,0,1,12,364,1,4
22,32.5,0,3,1,0,2.0,2,1,0,24,4,1,18,0,0,0
23,42.5,1,4,3,0,1.0,1,1,16,96,2,0,0,0,0,0
24,57.5,1,4,1,0,1.0,3,1,16,3,0,1,14,0,0,0
25,15.0,0,3,1,0,2.0,99,0,15,0,0,0,0,0,0,0
26,70.0,0,3,1,0,3.0,4,1,16,360,1,0,0,0,0,0
27,70.0,0,4,1,0,1.0,1,1,0,260,2,1,21,0,0,0
28,57.5,1,2,1,1,1.0,4,1,0,144,0,1,24,0,0,0
29,42.5,0,4,1,0,1.0,1,1,NaN,156,2,0,0,0,0,0
30,14.0,1,2,6,0,1.0,99,0,16,0,0,0,0,0,0,0
31,13.0,0,4,1,0,1.0,99,0,16,0,0,0,0,0,0,0
32,14.0,1,4,1,0,1.0,99,0,0,0,0,0,0,0,0,0
33,22.5,0,3,1,0,2.0,1,1,18,48,1,1,15,0,1,0
34,42.5,0,4,2,0,2.0,1,1,14,6,3,0,0,0,0,0
35,20.0,0,1,7,0,2.0,3,0,19,0,0,0,0,0,0,0
36,22.5,1,1,2,0,3.0,3,1,18,48,0,1,18,31,0,0
37,32.5,0,2,7,1,1.0,1,1,0,3,0,0,0,0,0,0
38,22.5,1,4,7,0,1.0,4,1,15,52,5,1,17,60,0,0
39,22.5,0,4,1,0,1.0,1,1,15,3,3,0,0,0,1,0
40,22.5,1,1,1,0,3.0,1,1,0,340,3,1,17,363,1,0
41,57.5,1,2,1,1,2.0,4,1,14,336,NaN,1,13,3,0,0
42,42.5,1,4,7,0,1.0,1,1,19,12,1,1,17,0,0,0
43,32.5,0,4,1,0,1.0,4,0,16,0,0,0,0,0,0,0
44,24.5,1,3,1,0,3.0,1,1,16,104,5,1,18,10,NaN,0
45,16.0,0,1,1,1,1.0,99,1,0,7,0,1,14,4,0,0
46,22.5,1,1,7,0,2.0,1,1,16,52,3,1,21,208,0,0
47,22.5,1,3,1,1,3.0,1,1,15,156,3,1,22,0,0,0
48,19.0,0,2,7,0,1.0,2,1,19,52,0,1,18,27,1,0
49,22.5,1,2,7,1,1.0,1,1,15,260,2,1,18,48,0,0
50,22.5,1,4,1,0,2.0,1,1,18,156,0,0,0,0,0,0
51,27.5,0,2,1,0,2.0,1,1,17,52,2,1,18,0,0,0
52,14.0,1,4,1,0,1.0,99,0,0,0,0,0,0,0,0,0
53,24.5,1,1,2,1,2.0,4,1,15,48,2,1,18,0,0,0
54,32.5,0,4,1,0,2.0,1,1,13,5,0,1,17,0,0,0
55,57.5,0,1,1,1,1.0,4,1,15,29,12,1,35,0,0,0
56,57.5,0,1,1,1,1.0,4,0,18,0,0,0,0,0,0,0
57,70.0,0,1,2,1,3.0,4,1,0,0,0,0,0,0,0,0
58,15.0,0,2,1,1,1.0,99,1,15,36,1,1,12,355,1,0
59,42.5,0,4,1,0,3.0,1,1,0,36,1,0,0,0,1,0
60,18.0,0,2,1,0,1.0,4,0,17,0,0,0,0,0,0,0
61,57.5,0,2,1,0,1.0,4,1,14,350,3,1,18,52,1,0
62,57.5,0,4,1,0,2.0,1,1,0,208,1,1,16,0,0,0
63,42.5,0,4,1,0,2.0,1,1,18,48,3,0,0,0,0,0
64,13.0,1,4,1,0,2.0,99,0,18,0,0,0,0,0,0,0
65,42.5,1,3,1,0,2.0,1,1,20,104,12,1,18,0,1,0
66,42.5,1,4,1,0,3.0,1,1,12,104,3,1,15,0,1,0
67,13.0,1,2,1,1,1.0,99,0,24,0,0,0,0,0,0,0
68,22.5,0,4,7,1,1.0,1,1,23,156,2,0,0,0,0,0
69,32.5,0,1,1,1,1.0,2,1,18,260,4,1,16,364,1,0
70,42.5,0,4,1,0,1.0,4,1,NaN,260,2,1,20,0,0,0
71,24.5,1,4,1,0,2.0,4,1,0,312,6,1,12,0,1,0
72,57.5,1,3,3,0,2.0,1,1,18,1,0,1,16,0,0,0
73,57.5,0,2,7,0,1.0,1,0,18,0,0,0,0,0,0,0
74,18.0,1,1,2,1,1.0,4,0,0,0,0,1,16,168,1,4
75,70.0,0,2,1,0,2.0,4,1,0,208,2,0,0,0,0,0
76,14.0,0,4,1,0,1.0,99,0,25,0,0,0,0,0,NaN,0
77,22.5,1,1,1,0,2.0,2,1,10,24,2,0,0,0,0,0
78,18.0,0,4,6,0,3.0,3,1,19,104,3,1,15,208,0,0
79,18.0,0,4,1,0,3.0,1,1,0,32,0,0,0,0,0,0
80,42.5,0,2,1,1,3.0,4,1,0,3,6,1,14,364,1,0
81,57.5,0,4,1,0,2.0,1,1,0,96,3,1,16,0,0,0
82,17.0,1,4,1,0,1.0,99,1,18,6,2,0,0,0,0,0
83,22.5,1,2,7,0,1.0,1,1,16,338,8,1,17,Not sure,1,0
84,15.0,1,2,1,0,2.0,99,0,0,0,0,0,0,0,0,0
85,27.5,1,2,1,0,1.0,1,1,12,260,2,1,18,180,0,0
86,15.0,1,2,1,0,1.0,99,0,18,0,0,0,0,0,0,0
87,27.5,0,1,5,0,3.0,4,0,13,0,0,0,0,0,0,0
88,57.5,1,2,7,0,2.0,1,0,0,0,0,0,0,0,0,0
89,22.5,0,4,7,0,2.0,1,1,22,3,1,0,0,0,0,0
90,32.5,1,4,4,0,3.0,1,1,0,7,4,1,15,0,0,0
91,27.5,0,4,1,0,2.0,1,1,17,104,2,0,0,0,0,0
92,19.0,1,2,2,0,2.0,4,0,0,0,0,0,0,0,0,0
93,15.0,1,3,1,0,1.0,99,1,24,0,0,1,15,16,0,0
94,57.5,1,3,1,0,2.0,1,1,16,30,1,1,17,0,0,0
95,13.0,0,4,1,0,3.0,99,0,0,0,0,0,0,0,0,0
96,15.0,0,2,1,0,2.0,99,0,14,0,0,1,15,1,0,0
97,24.5,1,4,1,1,1.0,4,0,16,0,0,0,0,0,0,0
98,21.0,1,3,6,0,1.0,2,1,0,12,4,1,17,260,0,0
99,32.5,0,3,1,1,1.0,4,1,18,312,4,1,13,2,1,30
100,32.5,1,4,2,0,1.0,1,1,0,Not sure,1,1,19,364,0,0
101,32.5,1,3,1,0,2.0,1,1,21,104,2,1,17,2,0,0
102,18.0,1,4,2,0,1.0,2,1,16,24,0,1,16,52,1,0
103,42.5,0,4,1,0,2.0,1,1,16,12,0,0,0,0,0,0
104,15.0,1,1,2,1,2.0,99,0,0,0,0,0,0,0,0,0
