,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cigs Per Day,Cig Everyday Use Age
0,32.5,0,4,1,0,1.0,4,1,18,10,1,1,20,0,0,0,1,0,0
1,22.5,1,4,7,1,1.0,4,1,16,9,0,1,15,2,1,0,1,7,18
2,42.5,1,2,7,0,1.0,3,1,14,0,0,0,0,0,0,0,1,7,26
3,16.0,0,4,7,0,2.0,99,0,14,0,0,0,0,0,0,0,0,0,0
4,70.0,0,3,1,0,1.0,2,1,0,10,2,1,32,0,0,0,1,0,0
5,27.5,1,2,5,0,3.0,4,1,16,7,0,0,0,0,0,0,0,0,0
6,57.5,1,2,1,0,3.0,4,0,13,0,0,0,0,0,0,0,0,0,0
7,42.5,1,4,1,0,2.0,1,1,14,72,3,0,0,0,0,0,0,0,0
8,32.5,1,1,2,1,3.0,1,0,15,0,0,1,15,0,0,0,1,30,21
9,18.0,1,2,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,27.5,0,2,1,0,1.0,1,1,16,104,NaN,1,12,208,1,0,1,30,14
11,22.5,0,1,6,1,1.0,3,1,0,20,0,1,16,0,1,14,1,0,0
12,13.0,1,1,2,1,1.0,99,0,12,0,0,0,0,0,0,0,0,0,0
13,42.5,1,3,7,1,2.0,1,1,18,104,3,1,15,0,0,0,0,0,0
14,15.0,1,1,6,1,1.0,99,0,21,0,0,0,0,0,0,0,1,0,0
15,27.5,0,4,1,0,3.0,1,1,21,156,1,1,20,0,0,0,0,0,0
16,42.5,1,4,1,0,2.0,1,1,0,156,2,1,25,0,0,0,1,0,0
17,16.0,0,1,2,1,2.0,99,1,0,2,0,1,14,0,0,0,0,0,0
18,22.5,1,2,7,0,1.0,1,1,14,260,2,1,20,0,0,0,1,1,0
19,42.5,1,1,6,1,1.0,1,1,0,52,4,1,15,360,1,0,1,1,15
20,15.0,0,4,1,0,2.0,99,0,16,0,0,0,0,0,0,0,0,0,0
21,15.0,1,1,1,1,2.0,99,0,17,0,0,0,0,0,NaN,0,0,0,0
22,42.5,1,2,7,0,2.0,1,1,0,3,NaN,0,0,0,0,0,1,Not sure,0
23,17.0,0,4,1,0,1.0,99,1,16,12,NaN,1,13,360,1,0,1,0,0
24,42.5,0,4,7,0,1.0,4,1,16,24,1,0,0,0,0,0,0,0,0
25,32.5,0,4,1,0,2.0,4,1,15,15,1,1,18,0,0,0,0,0,0
26,19.0,1,3,1,0,3.0,3,1,16,12,NaN,0,0,0,0,0,1,0,0
27,18.0,0,2,1,0,1.0,4,0,0,0,0,0,0,0,0,0,1,30,18
28,20.0,0,2,1,0,1.0,1,1,0,24,0,1,18,260,1,0,1,0,18
29,32.5,1,1,2,1,1.0,1,1,NaN,36,1,1,15,96,0,0,1,0,0
30,42.5,0,2,7,0,1.0,1,1,16,100,2,0,0,0,0,0,1,0,0
31,27.5,1,2,1,0,1.0,1,1,16,180,1,0,0,0,0,0,1,0,0
32,42.5,0,4,6,0,1.0,1,1,0,72,3,1,19,0,0,0,1,0,0
33,42.5,1,2,2,0,2.0,2,0,18,0,0,0,0,0,0,0,0,0,0
34,15.0,1,4,1,0,2.0,99,1,14,52,1,0,0,0,0,0,0,0,0
35,16.0,1,1,5,0,2.0,99,0,19,0,0,0,0,0,0,0,0,0,0
36,42.5,1,4,1,0,3.0,1,0,18,0,0,0,0,0,1,1,0,0,0
37,17.0,1,3,1,0,1.0,99,0,0,0,0,0,0,0,NaN,0,0,0,0
38,42.5,0,3,1,0,1.0,2,1,15,60,1,0,0,0,0,0,1,0,18
39,42.5,1,4,1,0,1.0,1,1,15,48,2,1,16,0,0,0,1,0,0
40,32.5,0,4,7,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,17.0,1,4,1,0,2.0,99,1,14,2,0,1,12,0,0,0,0,0,0
42,22.5,0,1,7,0,1.0,1,1,19,96,18,1,18,0,0,0,1,30,18
43,42.5,0,4,1,0,1.0,4,1,16,0,0,0,0,0,0,0,1,0,0
44,42.5,1,2,6,1,3.0,1,1,16,12,0,1,16,0,0,0,1,25,0
45,27.5,1,2,6,0,1.0,3,1,0,312,3,1,14,0,0,0,1,30,15
46,27.5,1,4,1,0,2.0,1,1,16,48,3,1,24,0,0,0,1,3,0
47,21.0,1,4,7,1,3.0,1,1,15,24,0,1,14,312,0,0,1,0,0
48,16.0,0,2,6,1,1.0,99,0,19,0,0,0,0,0,1,0,0,0,0
