,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
0,70.0,1,4,1,0,1,1,1,18,240,0,0,0,0,0,0,,NaN,0,0
1,42.5,1,2,2,0,1,4,1,16,60,3,1,16,NaN,0,0,,NaN,18,17
2,42.5,1,4,5,0,1,1,1,14,52,2,1,14,0,0,0,,NaN,10,18
3,42.5,1,4,7,0,2,1,1,14,15,2,0,0,0,0,0,,NaN,0,0
4,70.0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
5,70.0,0,1,1,0,3,4,1,16,4,0,0,0,0,0,0,,NaN,0,15
6,19.0,0,4,1,0,3,2,1,13,10,0,0,0,0,0,0,,NaN,0,0
7,22.5,0,2,3,0,2,4,1,14,104,2,1,14,104,NaN,0,,NaN,0,0
8,19.0,1,1,2,1,3,2,1,15,2,0,1,17,0,0,0,,NaN,0,0
9,12.0,1,1,7,1,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10,27.5,1,2,7,0,1,1,1,16,52,NaN,0,0,0,0,0,0.0,NaN,0,0
11,19.0,0,3,7,1,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
12,24.5,0,2,1,0,1,3,1,12,156,2,1,12,312,0,0,,NaN,5,17
13,57.5,0,2,1,0,2,4,1,18,2,0,1,21,0,0,0,0.0,NaN,0,0
14,57.5,1,2,1,0,1,4,1,21,104,1,0,0,0,0,0,,NaN,0,0
15,32.5,1,4,1,0,3,1,1,21,5,2,0,0,0,0,0,0.0,NaN,0,0
16,32.5,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
17,18.0,0,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
18,27.5,1,2,1,0,1,1,1,14,208,2,1,11,208,1,0,,NaN,0,0
19,15.0,0,3,6,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
20,22.5,1,2,1,1,2,1,1,16,60,0,1,15,260,0,0,,NaN,30,16
21,24.5,0,2,1,0,2,1,1,17,20,0,0,0,0,0,0,,NaN,0,0
22,17.0,0,4,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
23,19.0,0,4,7,0,1,4,1,16,0,0,0,0,0,1,0,0.0,NaN,0,0
24,57.5,1,2,1,0,1,1,1,16,156,2,1,18,156,0,0,,NaN,30,17
25,17.0,1,2,2,1,2,99,1,15,3,0,1,16,41,0,0,,NaN,0,0
26,20.0,0,2,1,0,3,2,1,16,1,0,0,0,0,0,0,,NaN,0,0
27,17.0,0,3,2,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
28,42.5,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,,NaN,30,18
29,15.0,0,1,2,1,1,99,1,NaN,NaN,NaN,0,0,0,0,0,,NaN,0,0
30,21.0,0,1,1,0,1,1,1,16,36,3,1,17,364,0,0,,NaN,7,0
31,42.5,0,4,1,0,1,4,1,16,6,3,1,17,0,0,0,,NaN,0,20
32,15.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
33,22.5,0,1,2,1,2,1,1,18,192,4,1,19,0,0,0,0.0,NaN,0,0
34,20.0,0,4,1,0,2,2,1,14,52,1,1,14,72,1,0,,NaN,0,0
35,27.5,0,2,1,0,2,1,1,19,52,1,1,22,0,0,0,0.0,NaN,0,0
36,70.0,1,2,1,0,3,1,1,18,0,0,0,0,0,0,0,,NaN,0,18
37,12.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
38,22.5,0,3,7,0,1,1,1,15,156,1,1,18,0,0,0,,NaN,0,0
39,32.5,1,2,1,0,1,1,1,15,52,4,1,16,0,0,0,0.0,NaN,0,0
40,18.0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
41,24.5,1,2,1,0,2,2,1,14,52,2,0,0,0,0,0,0.0,NaN,0,0
42,42.5,1,4,1,0,1,1,1,19,36,0,0,0,0,0,0,,NaN,Not sure,19
43,42.5,0,4,1,0,1,1,1,16,52,1,1,18,0,0,0,,NaN,0,0
44,32.5,1,4,1,0,3,1,1,16,364,2,1,17,364,1,0,0.0,NaN,0,0
